,DataPesquisa,de,para,Ida,Volta,preco
311,25/01/2020 15:14:55,GRU,ATL,2020-07-04,2020-07-19,4805
312,25/01/2020 15:14:55,GRU,MIA,2020-07-01,2020-07-16,3376
313,25/01/2020 15:14:55,GRU,MIA,2020-07-01,2020-07-17,3466
314,25/01/2020 15:14:55,GRU,MIA,2020-07-01,2020-07-18,3451
315,25/01/2020 15:14:55,GRU,MIA,2020-07-01,2020-07-19,3429
316,25/01/2020 15:14:55,GRU,MIA,2020-07-01,2020-07-20,3384
317,25/01/2020 15:14:55,GRU,MIA,2020-07-01,2020-07-21,3289
318,25/01/2020 15:14:55,GRU,MIA,2020-07-01,2020-07-22,3140
319,25/01/2020 15:14:55,GRU,MIA,2020-07-02,2020-07-16,3573
320,25/01/2020 15:14:55,GRU,MIA,2020-07-02,2020-07-17,3480
321,25/01/2020 15:14:55,GRU,MIA,2020-07-02,2020-07-18,3470
322,25/01/2020 15:14:55,GRU,MIA,2020-07-02,2020-07-19,3443
323,25/01/2020 15:14:55,GRU,MIA,2020-07-02,2020-07-20,3478
324,25/01/2020 15:14:55,GRU,MIA,2020-07-02,2020-07-21,3432
325,25/01/2020 15:14:55,GRU,MIA,2020-07-02,2020-07-22,3386
326,25/01/2020 15:14:55,GRU,MIA,2020-07-03,2020-07-16,3438
327,25/01/2020 15:14:55,GRU,MIA,2020-07-03,2020-07-17,3379
328,25/01/2020 15:14:55,GRU,MIA,2020-07-03,2020-07-18,3592
329,25/01/2020 15:14:55,GRU,MIA,2020-07-03,2020-07-19,3323
330,25/01/2020 15:14:55,GRU,MIA,2020-07-03,2020-07-20,3511
331,25/01/2020 15:14:55,GRU,MIA,2020-07-03,2020-07-21,3520
332,25/01/2020 15:14:55,GRU,MIA,2020-07-03,2020-07-22,3456
333,25/01/2020 15:14:55,GRU,MIA,2020-07-04,2020-07-16,3462
334,25/01/2020 15:14:55,GRU,MIA,2020-07-04,2020-07-17,3403
335,25/01/2020 15:14:55,GRU,MIA,2020-07-04,2020-07-18,3681
336,25/01/2020 15:14:55,GRU,MIA,2020-07-04,2020-07-19,3190
337,25/01/2020 15:14:55,GRU,MIA,2020-07-04,2020-07-20,3562
338,25/01/2020 15:14:55,GRU,MIA,2020-07-04,2020-07-21,3561
339,25/01/2020 15:14:55,GRU,MIA,2020-07-04,2020-07-22,3522
340,25/01/2020 15:14:55,GRU,MIA,2020-07-05,2020-07-16,3511
341,25/01/2020 15:14:55,GRU,MIA,2020-07-05,2020-07-17,3437
342,25/01/2020 15:14:55,GRU,MIA,2020-07-05,2020-07-18,3825
343,25/01/2020 15:14:55,GRU,MIA,2020-07-05,2020-07-19,3157
344,25/01/2020 15:14:55,GRU,MIA,2020-07-05,2020-07-20,3591
345,25/01/2020 15:14:55,GRU,MIA,2020-07-05,2020-07-21,3555
346,25/01/2020 15:14:55,GRU,MIA,2020-07-05,2020-07-22,3555
347,25/01/2020 15:14:55,GRU,MIA,2020-07-06,2020-07-16,3414
348,25/01/2020 15:14:55,GRU,MIA,2020-07-06,2020-07-17,3506
349,25/01/2020 15:14:55,GRU,MIA,2020-07-06,2020-07-18,3536
350,25/01/2020 15:14:55,GRU,MIA,2020-07-06,2020-07-19,3159
351,25/01/2020 15:14:55,GRU,MIA,2020-07-06,2020-07-20,3572
